s;v(signal_in);v(signal_out);time
0;0;0;0
9,99999993922529E-9;0,0500000007450581;4,99950010635075E-6;9,99999993922529E-9
1,08400559639676E-8;0,0542002804577351;5,45476677871193E-6;1,08400559639676E-8
1,25201680134523E-8;0,0626008436083794;6,43586190562928E-6;1,25201680134523E-8
1,58803921124218E-8;0,0794019624590874;8,82141193869756E-6;1,58803921124218E-8
2,26008403103606E-8;0,113004200160503;1,5285879271687E-5;2,26008403103606E-8
3,60417367062382E-8;0,180208683013916;3,49877191183623E-5;3,60417367062382E-8
6,29235259452798E-8;0,31461763381958;0,00010147847206099;6,29235259452798E-8
1,1668711152879E-7;0,583435535430908;0,000342771847499534;1,1668711152879E-7
2,24214275590384E-7;1,12107145786285;0,00125831505283713;2,24214275590384E-7
4,39268603713572E-7;2,19634318351746;0,00481890235096216;4,39268603713572E-7
8,69377288381656E-7;4,34688663482666;0,0188395231962204;8,69377288381656E-7
9,99999997475243E-7;5;0,024915523827076;9,99999997475243E-7
1,08602171167149E-6;5;0,0291914995759726;1,08602171167149E-6
1,25806525375083E-6;5;0,0377360992133617;1,25806525375083E-6
1,60215211053583E-6;5;0,0547812767326832;1,60215211053583E-6
2,29032593779266E-6;5;0,0886962860822678;2,29032593779266E-6
3,66667381968E-6;5;0,155830904841423;3,66667381968E-6
6,41936912870733E-6;5;0,287365734577179;6,41936912870733E-6
1,19247606562567E-5;5;0,539864182472229;1,19247606562567E-5
2,29355428018607E-5;5;1,00533401966095;2,29355428018607E-5
4,49571052740794E-5;5;1,79776871204376;4,49571052740794E-5
8,49571079015732E-5;5;2,86517906188965;8,49571079015732E-5
0,000124957106891088;5;3,57678604125977;0,000124957106891088
0,000164957105880603;5;4,0511908531189;0,000164957105880603
0,000204957104870118;5;4,36746072769165;0,000204957104870118
0,000244957103859633;5;4,57830715179443;0,000244957103859633
0,000284957117401063;5;4,71887111663818;0,000284957117401063
0,000324957101838663;5;4,81258106231689;0,000324957101838663
0,000364957115380093;5;4,87505388259888;0,000364957115380093
0,000404957099817693;5;4,91670274734497;0,000404957099817693
0,000444957113359123;5;4,94446849822998;0,000444957113359123
0,000484957097796723;5;4,96297883987427;0,000484957097796723
0,000500999973155558;5;4,96847724914551;0,000500999973155558
0,000501099973917007;4,5;4,96800899505615;0,000501099973917007
0,000501299975439906;3,5;4,96607494354248;0,000501299975439906
0,000501699978485703;1,5;4,95623064041138;0,000501699978485703
0,000501999980770051;0;4,94363069534302;0,000501999980770051
0,000502080016303807;0;4,93967914581299;0,000502080016303807
0,000502239970955998;0;4,93178176879883;0,000502239970955998
0,0005025599966757;0;4,91602516174316;0,0005025599966757
0,000503199989907444;0;4,88466310501099;0,000503199989907444
0,000504479976370931;0;4,82253694534302;0,000504479976370931
0,000507040007505566;0;4,7006402015686;0,000507040007505566
0,000512160011567175;0;4,46597480773926;0,000512160011567175
0,000522400019690394;0;4,03093338012695;0,000522400019690394
0,000542879977729172;0;3,28208065032959;0,000542879977729172
0,000582879991270602;0;2,18805384635925;0,000582879991270602
0,000622880004812032;0;1,45870244503021;0,000622880004812032
0,000662880018353462;0;0,972468316555023;0,000662880018353462
0,000702879973687231;0;0,648312211036682;0,000702879973687231
0,000742879987228662;0;0,432208150625229;0,000742879987228662
0,000782880000770092;0;0,288138777017593;0,000782880000770092
0,000822880014311522;0;0,192092508077621;0,000822880014311522
0,000862880027852952;0;0,128061667084694;0,000862880027852952
0,000902879983186722;0;0,0853744521737099;0,000902879983186722
0,000942879996728152;0;0,0569163002073765;0,000942879996728152
0,000982880010269582;0;0,0379442013800144;0,000982880010269582
0,00100000004749745;0;0,0319603681564331;0,00100000004749745
0,0010001000482589;0,5;0,032427940517664;0,0010001000482589
0,0010003000497818;1,5;0,0343611501157284;0,0010003000497818
0,0010007000528276;3,5;0,0442040227353573;0,0010007000528276
0,00100100005511194;5;0,05680251121521;0,00100100005511194
0,00100108003243804;5;0,060753908008337;0,00100108003243804
0,00100123998709023;5;0,0686503872275352;0,00100123998709023
0,00100156001280993;5;0,0844054967164993;0,00100156001280993
0,00100219994783401;5;0,115764953196049;0,00100219994783401
0,00100348005071282;5;0,177885591983795;0,00100348005071282
0,0010060400236398;5;0,299771577119827;0,0010060400236398
0,00101115996949375;5;0,534416377544403;0,00101115996949375
0,00102139997761697;5;0,969419956207275;0,00102139997761697
0,0010418799938634;5;1,7182070016861;0,0010418799938634
0,00108187994919717;5;2,81213808059692;0,00108187994919717
0,00112188002094626;5;3,5414252281189;0,00112188002094626
0,00116187997628003;5;4,02761697769165;0,00116187997628003
0,00120188004802912;5;4,35174465179443;0,00120188004802912
0,00124188000336289;5;4,56782960891724;0,00124188000336289
0,00128187995869666;5;4,71188640594482;0,00128187995869666
0,00132188003044575;5;4,80792427062988;0,00132188003044575
0,00136187998577952;5;4,87194967269897;0,00136187998577952
0,00140188005752861;5;4,91463279724121;0,00140188005752861
0,00144188001286238;5;4,94308853149414;0,00144188001286238
0,00148187996819615;5;4,96205902099609;0,00148187996819615
0,00150100002065301;5;4,9686803817749;0,00150100002065301
0,00150110002141446;4,5;4,96821212768555;0,00150110002141446
0,00150130002293736;3,5;4,96627759933472;0,00150130002293736
0,00150170002598315;1,5;4,9564323425293;0,00150170002598315
0,0015020000282675;9,62785406954936E-13;4,94383192062378;0,0015020000282675
0,0015020800055936;0;4,93987989425659;0,0015020800055936
0,00150223996024579;0;4,93198251724243;0,00150223996024579
0,00150255998596549;0;4,91622543334961;0,00150255998596549
0,00150320003740489;0;4,88486194610596;0,00150320003740489
0,00150448002386838;0;4,8227334022522;0,00150448002386838
0,00150703999679536;0;4,7008318901062;0,00150703999679536
0,0015121599426493;0;4,46615695953369;0,0015121599426493
0,00152239995077252;0;4,03109741210937;0,00152239995077252
0,00154287996701896;0;3,28221416473389;0,00154287996701896
0,00158288003876805;0;2,18814277648926;0,00158288003876805
0,00162287999410182;0;1,4587619304657;0,00162287999410182
0,00166287994943559;0;0,972507894039154;0,00166287994943559
0,00170288002118468;0;0,648338615894318;0,00170288002118468
0,00174287997651845;0;0,432225733995438;0,00174287997651845
0,00178288004826754;0;0,288150489330292;0,00178288004826754
0,00182288000360131;0;0,192100331187248;0,00182288000360131
0,00186287995893508;0;0,128066882491112;0,00186287995893508
0,00190288003068417;0;0,085377924144268;0,00190288003068417
0,00194287998601794;0;0,0569186173379421;0,00194287998601794
0,00198288005776703;0;0,037945743650198;0,00198288005776703
0,0020000000949949;0;0,0319616682827473;0,0020000000949949
0,00200009997934103;0,5;0,0324292406439781;0,00200009997934103
0,00200029998086393;1,5;0,0343624502420425;0,00200029998086393
0,00200069998390973;3,5;0,0442053116858006;0,00200069998390973
0,0020010001026094;5;0,0568038001656532;0,0020010001026094
0,00200107996352017;5;0,0607551969587803;0,00200107996352017
0,00200123991817236;5;0,0686516687273979;0,00200123991817236
0,00200156006030738;5;0,084406778216362;0,00200156006030738
0,00200220011174679;5;0,11576621979475;0,00200220011174679
0,00200347998179495;5;0,177886843681335;0,00200347998179495
0,00200603995472193;5;0,299772799015045;0,00200603995472193
0,00201115990057588;5;0,534417510032654;0,00201115990057588
0,00202140002511442;5;0,969420969486237;0,00202140002511442
0,00204188004136086;5;1,71820783615112;0,00204188004136086
0,00208188011310995;5;2,81213855743408;0,00208188011310995
0,00212187995202839;5;3,54142570495605;0,00212187995202839
0,00216188002377748;5;4,02761697769165;0,00216188002377748
0,00220188009552658;5;4,35174465179443;0,00220188009552658
0,00224187993444502;5;4,56782960891724;0,00224187993444502
0,00228188000619411;5;4,71188640594482;0,00228188000619411
0,00232188007794321;5;4,80792427062988;0,00232188007794321
0,00236187991686165;5;4,87194967269897;0,00236187991686165
0,00240187998861074;5;4,91463327407837;0,00240187998861074
0,00244188006035984;5;4,94308853149414;0,00244188006035984
0,00248187989927828;5;4,96205902099609;0,00248187989927828
0,00250099995173514;5;4,9686803817749;0,00250099995173514
0,00250110006891191;4,5;4,96821212768555;0,00250110006891191
0,00250130007043481;3,5;4,96627759933472;0,00250130007043481
0,00250170007348061;1,5;4,9564323425293;0,00250170007348061
0,00250199995934963;0;4,94383192062378;0,00250199995934963
0,00250208005309105;0;4,93987989425659;0,00250208005309105
0,00250224000774324;0;4,93198251724243;0,00250224000774324
0,00250255991704762;0;4,91622543334961;0,00250255991704762
0,00250319996848702;0;4,88486194610596;0,00250319996848702
0,00250448007136583;0;4,8227334022522;0,00250448007136583
0,00250704004429281;0;4,7008318901062;0,00250704004429281
0,00251215999014676;0;4,46615695953369;0,00251215999014676
0,0025224001146853;0;4,03109741210937;0,0025224001146853
0,00254287989810109;0;3,28221416473389;0,00254287989810109
0,00258287996985018;0;2,18814277648926;0,00258287996985018
0,00262288004159927;0;1,4587619304657;0,00262288004159927
0,00266288011334836;0;0,972507953643799;0,00266288011334836
0,00270287995226681;0;0,648338615894318;0,00270287995226681
0,0027428800240159;0;0,432225733995438;0,0027428800240159
0,00278288009576499;0;0,288150489330292;0,00278288009576499
0,00282287993468344;0;0,192100331187248;0,00282287993468344
0,00286288000643253;0;0,128066882491112;0,00286288000643253
0,00290288007818162;0;0,085377924144268;0,00290288007818162
0,00294287991710007;0;0,0569186173379421;0,00294287991710007
0,00298287998884916;0;0,037945743650198;0,00298287998884916
0,00300000002607703;0;0,0319616682827473;0,00300000002607703
